,acronym,meaning_wiktionary,meaning_pdf,meaning_any
2245,"ירו""ם",,"['יחידת רישום וגיוס מוניות ירוש ירושלים או ירושלמי ]אל תקצרו לא במקף: י-ם ולא בגרשיים: י""ם']",True
2246,"יר""ם",,['יחידת רכב־מגויס '],True
2247,"ירמ""א",,['יחידת רכב־מגויס אזורית '],True
2248,"ירמ""ם",,['יחידת רכב־מגויס מרחבית'],True
2249,"ירפ""ם",,['יחידת רפואה מרחבית'],True
2250,"ירש""ת",,['יחידת רפואה לשדה תעופה'],True
2251,"יש""ב",,['יחידת־שליטה בסיסית'],True
2252,"ישב""ס",,['ישיבת סגל'],True
2253,"ישב""ץ",,['ישיבת צוות 97'],True
2254,"יש""ד",,['יחידת שירותי דם'],True
2255,"יש""ל",,['יחידת שלישות'],True
2256,"ישל""א",,['יחידת־שליטה אוגדתית '],True
2257,"ישל""ט",,['יחידת שליטה'],True
2258,"ישל""ם",,['יחידת שלישות מרחבית  '],True
2259,"ישל""ק",,['יחידה השליטה הקרובה'],True
2260,"יש""ם",,"['יחידת שליטה מרכזית;', 'יום־שדה משימתי;', 'יחידת שירותי מנהלה;', 'יחידת השליטה והמבצעים']",True
2261,"ישמ""ק",,['יחידת שליטה מרכזית קרקעית '],True
2262,"ישמ""ת",,"['יש""ם  תחזוקה']",True
2263,"יש""ע",,"['יהודה, שומרון  עזה']",True
2264,"יש""פ",,['יחידת שיטור פיקודית'],True
2265,"יש""ר",,['יחידת שליטה רחוקה'],True
2266,"ישת""פ",,['היחידה לשיתוף פעולה '],True
2267,"ית""א",,"['יחידת תחזוקה אוגדתית ] 2-1 הגו: ית""א; ראו: יל""א', 'יתר איכות']",True
2268,"ית""ב",,['יחידת תפעול וביצועים'],True
2269,"יתו""ש",,['יחידת תפעול ושליטה'],True
2270,"ית""ט",,['יחידת תוף טווחים'],True
2271,"יתלו""ם",,['יחידת תקשוב לוגיסטית מרחבית'],True
2272,"ית""ם",,"['יחידת־תחזוקה מרחבית;', 'יחידת תכנון משימה']",True
2273,"ית""ן",,['יחידת תנועה'],True
2274,"יתנ""ם",,['יחידת תחזוקה נגד־מטוסים'],True
2275,"יתנ""פ",,['יחידת תנועה פיקודית'],True
2276,"ית""ק",,['יחידת תחילת קטע'],True
2277,"ית""ש",,['יתרת שירות'],True
2278,"ית""ת",,['יחידת תפעול תצוגה'],True
2279,כ',,"['כיתה או כיתתי ;', 'כרטיס;', 'חבל כפרי;', 'גשר כלובים ;', 'כנף או כנפי;', 'כמעט']",True
2280,"כ""א",,"['כוח־אדם ]ראו גם ;]PER', 'כינוס אוויר;', 'כל אחד;', 'כושר א']",True
2281,"כא""ב",,"['כספים, אכ""ס , בורנשטיין המשמעות היא – העברת כספים לגורמי חוץ הגו: כף־אלף־בית']",True
2282,"כא""ד",,['כוח אחזקה נייד'],True
2283,"כא""מ",,['כוח־אדם מילואים'],True
2284,"כא""ם",,['כוחות אוויר מיוחדים'],True
2285,"כא""ס",,['כוח־אדם סדיר'],True
2286,"כאצ""ה",,['כוח אחזקת ציוד מכני הנדסי'],True
2287,"כ""ב",,['כושר ב'],True
2288,"כב""ה",,[' כבאות והצלה '],True
2289,"כב""ג",,"['כימי, ביולוגי, גרעיני']",True
2290,"כבי""ל",,['כוח בין־לאומי'],True
2291,"כבי""ר",,"['כימי, ביולוגי, רדיולוגי']",True
2292,"כב""ם",,['כלים בלתי־מאוישים'],True
2293,"כב""ש",,['כיבוי שרפה'],True
2294,"כ""ג",,"['כושר גופני;', 'כושר גבוה']",True
2295,"כד""א",,"['כדור הארץ;', 'כדוריות דם אדומות']",True
2296,כ,,['100'],True
2297,"כד""פ",,['כדור פירוטכני'],True
2298,"כה""א",,['כל הארץ '],True
2299,"כה""ג",,['כיתת הגנה '],True
2300,"כהנ""ם",,"['הכוחות נגד־מטוסים ]לרוב הוגים: כוחות הנון־מם; ראו: הגנ""א']",True
2301,"כה""ס",,['כושר הסתגלות'],True
2302,"כו""ב",,['כשירות ובקרה'],True
2303,"כוהב""ט",,['כוחות הביטחון'],True
2304,"כו""ח",,"['כטב""ם  וחוזי']",True
2305,"כוח""ב",,[' כבל חשמלית דור ב למרכבה 4'],True
2306,"כו""ך",,"['כשירות וכוננות;', 'כלכלה וכספים']",True
2307,"כו""ם",,"['כוננות ומערך;', 'כשירות ומוכנות;', 'כספים ומכירות;', 'כוחות ומשימות;', 'כוחות מיוחדים']",True
2308,"כומ""ז",,['הכוחות המזוינים כונ כוננות'],True
2309,"כו""ס",,['כוח סוס'],True
2310,"כור""ם",,['כורה מידע'],True
2311,"כו""ש",,['כשרות ושבת'],True
2312,"כוש""ק",,['כושר קרבי '],True
2313,"כות""ל",,['כותב לומדה'],True
2314,"כז""ם",,"['כושר, זריזות ומהירות']",True
2315,"כ""ח",,['כלי חשמלי'],True
2316,"כחב""ז",,[' כבל חשמלית למרכבה 3 בז'],True
2317,"כחו""ל",,['כושרי חשיבה ולמידה'],True
2318,"כח""ן",,"['כינון, חימוש, ניווט']",True
2319,"כח""פ",,['כיתת חימוש פלוגתית'],True
2320,"כ""ט",,['כלי טיס ]ראו A/C וגם ]AV'],True
2321,"כטג""ז",,"['כרטיס טיהור, גילוי וזיהוי']",True
2322,"כט""ם",,['כללי טיסת מכשירים'],True
2323,"כטמ""ם",,['כלי טיס מוטס מרחוק'],True
2324,"כט""ע",,['כלי טיס עצמאי '],True
2325,"כט""ר",,['כושר טיסת ראייה'],True
2326,"כיפ""ב",,['כיפת ברזל'],True
2327,"ככה""נ",,['ככל הנראה'],True
2328,"כלה""א",,['כל הארץ '],True
2329,"כל""ח",,['כלל־חילי'],True
2330,"כל""כ",,['כתף אל  כתף'],True
2331,"כלני""ת",,['כלי ניהול תוכנית עבודה ותהליכים'],True
2332,"כלנ""ס",,['כינוס לנספחים'],True
2333,"כל""ע",,['כוח לחימה עתידי '],True
2334,"כל""צ",,"['כלל־צה""לי ']",True
2335,"כל""ש",,['כלוא לשעבר'],True
2336,"כל""ת",,['כניסה לתפקיד'],True
2337,"כ""ם",,['כוחות מיוחדים'],True
2338,"כמ""ג",,['כוחות משמר הגבול'],True
2339,"כמ""ם",,['כוח משימה משותף'],True
2340,"כמ""ץ",,"['כתיבת המסמך הצבאי;', 'כשירות מבצעית צה""לית']",True
2341,"כמ""ר",,['כוח משקיפים רב־לאומי'],True
2342,"כמ""ש",,['כוחות משותפים'],True
2343,"כ""נ",,"['כביש נחיתה;', 'כושר נמוך']",True
2344,"כנ""כ",,['כולם נגד כולם'],True
2345,"כנ""ף",,['כושר נפשי'],True
2346,"כנפ""ץ",,['כנפי צניחה '],True
2347,"כנ""ש",,['כן שיגור'],True
2348,"כנ""ת",,['כלי ניהול תוכן'],True
2349,"כ""ס",,['כתב סתרים '],True
2350,"כס""א",,"['כיבוי, סוללה, אנטנה כס""א תמ""ב כיבוי, סוללה, אנטנה; תדר, מע""ד, בדיקה']",True
2351,"כס""ב",,"['כיסוי בסיסי;', 'כוחות סוריה בלבנון']",True
2352,"כסל""ם",,['כיסוי למבצע'],True
2353,"כס""ם",,['כתב סמוי'],True
2354,"כספט""ר",,['כספי טרור'],True
2355,"כספ""ר",,['כסף פרטי 102'],True
2356,"כ""ע",,"['כרטיס עבודה;', 'כלי עבודה ']",True
2357,"כ""פ",,['כדור פירוטכני '],True
2358,"כפ""ד",,"[""'כפיר' דו־מושבי ]'כפיר' - מטוס קרב רב־משימתי, תוצרת התעשייה האווירית לישראל""]",True
2359,"כפ""ט",,['כדור פירוטכני '],True
2360,"כפל""ד",,['כובע פלדה'],True
2361,"כפלס""ט",,['כובע פלדה  פלסטיק'],True
2362,"כפ""ם",,"[""'כפיר' משופר""]",True
2363,"כפ""ס",,['כפר סבא '],True
2364,"כפ""ש",,"[""'כפיר שואג'""]",True
2365,"כ""צ",,"['כתיבה צבאית ;', 'כתב צבאי']",True
2366,"כ""ץ",,['כתב צבאי'],True
2367,"כצב""ם",,['כלי צלילה בלתי מאויש'],True
2368,"כ""ר",,['כלי רכב ]ראו גם ]VEH'],True
2369,"כרב""ם",,['כלי רכב בלתי־מאויש ]ראו גם ]UGV'],True
2370,"כר""ז",,['כרטיס זיהוי'],True
2371,"כר""ח",,['כרטיס חכם'],True
2372,"כר""ל",,['כוח רב־לאומי ]ראו גם ]MNF'],True
2373,"כר""ם",,['כרטסת ממוחשבת'],True
2374,"כרמ""ל",,"['כרטיס מזווד לגו""ז ']",True
2375,"כרמ""ם",,"['כלי רכב מאויש מרחוק ]אין הכלי מאויש ולכן ראוי שייקרא כרב""ם  או כלי רכב מבוקר או מופעל מרחוק']",True
2376,"כרמ""צ",,['כרמי צור כש כשירות'],True
2377,"כ""ש",,['כלי שיט'],True
2378,"כשב""ם",,['כלי שיט בלתי־מאויש'],True
2379,"כש""ג",,['כושר גופני ]ראו גם ]PF'],True
2380,"כש""ה",,"['כשירות והגנה;', 'כשירות הדרכתית']",True
2381,"כשט""ח",,['כתב שטח'],True
2382,"כש""ם",,"['כשירות ומוכנות;', 'כשירות ומדדים;', 'כן שיגור משופר;', 'כשירות מבצעית 103']",True
2383,"כשמ""ם",,['כן שיגור מתנייע'],True
2384,"כש""ן",,['כמעט שנפגע'],True
2385,"כש""ק",,['כושר קרבי '],True
2386,"כש""ש",,['כוחות שמירת השלום'],True
2387,"כת""א",,['כתב אישום'],True
2388,"כתב""ץ",,['כתיבה צבאית'],True
2389,"כת""ח",,['כיתת חימוש'],True
2390,"כתק""ד",,['כיתת תיקונים קדמית'],True
2391,"כתק""ל",,['כיתת תיקונים קלים ]ראו גם ]LAD'],True
2392,"כת""ר",,"['כלכלה, תקציבים ורכש  105']",True
2393,ל/,,"['קידומת למספר האישי של חייל המאפיינת אוכלוסייה בשירות החובה, ששחרורה מעוכב על פי צו שר הביטחון']",True
2394,ל',,"[""לשכה ]גם לש'; ברבים: לשכות; בסמיכות: לשכת הגיוס או לשכות הגיוס; השימוש בשם 'לשכה' מותר רק לקצינים שדרגתם תת־אלוף ומעלה; אל תקצרו בנקודה: ל""]",True
2395,"לאו""ם",,"['לאיכון ולמעצר;', ' לגיוס אמצעים ולריתוק משקי;', ' לאיתור ולמיצוי של אמצעי תחבורה']",True
2396,"ל""ב",,['לנמען בלבד '],True
2397,"לב""ג",,['לא בוצעה גיחה'],True
2398,"לב""ח",,['לוחם בלתי־חוקי'],True
2399,"לב""ט",,['לוחמה בטרור ]ראו גם ]CT'],True
2400,"לב""י",,['הקרן לביטחון ישראל '],True
2401,"לבי""א",,['לוחמה באיומי אוויר'],True
2402,"לביא""ה",,['לוחם ביעה אופני הנדסי'],True
2403,"לב""ם",,['לא בוצעה משימה'],True
2404,"ל""ג",,['לשכת גיוס '],True
2405,"ל""ד",,"['ליטר לדקה ;', 'לחץ דם']",True
2406,"לד""ה",,"['לוחם \'דבור\' השטה ]\'דבור\' - ספינת סיור קלה בשירות חיל הים ששימשה לפעילות ביטחון שוטף לסיכול פעולות טרור ימיות ולשמירה על חופי ישראל הגו: לד""ה']",True
2407,"לד""ם",,"['לוגיסטיקה  דרג המכל""ל )= המפקדה הכללית']",True
2408,"לד""ן",,['לוגיסטיקת הדרג הנפרס'],True
2409,ל,,['106'],True
2410,"לד""פ",,"['לוגיסטיקת דרג הפקמ""ר ']",True
2411,"לד""ש",,"[""לוחם 'דבור' שיט ]'דבור' - ספינת סיור קלה בשירות חיל הים ששימשה לפעילות ביטחון שוטף, לסיכול פעולות טרור ימיות ולשמירה על חופי ישראל""]",True
2412,"לה""ב",,"['לפי הוראות הבקר;', 'לקוחות הביטחון;', 'לוגיסטיקה, הנדסה ובקרה;', 'למידה, הדרכה ובקרה']",True
2413,"לה""ד",,"['להק ההדרכה ;', 'לשכת ההדרכה']",True
2414,"לה""ט",,"[""לימודי המשך טראומה; ]'טראומה' בעברית: חובלה"", 'הלשכה הטכנית']",True
2415,"להט""ב",,"[""לסביות, הומואים, טרנסג'נדרים וביסקסואלים""]",True
2416,"לה""ם",,['להק ההשתתפות והמסוקים '],True
2417,"לה""ן",,['לקח והישגים נדרשים '],True
2418,"להק""ז",,"[""'להקת זאבים'""]",True
2419,"לה""ת",,['לקוחות התקשוב '],True
2420,"לו""ב",,['לוחמה בתקשורת לוג לוגיסטיקה'],True
2421,"לוגמ""ר",,['לוגיסטיקה מבוססת רשת'],True
2422,"לו""ז",,"['לוח זמנים;', 'לוחמה זעירה']",True
2423,"לוחמ""א",,['לוחם אוויר'],True
2424,"לוחמ""ם",,"['לוחמה מבוססת מודיעין;', 'לוחמה מועשרת מודיעין']",True
2425,"לוחמ""ן",,['לוחמת ניווט'],True
2426,"לו""ט",,['לוח טווחים'],True
2427,"לוט""ן",,['לוגיסטיקה וטכנולוגיה'],True
2428,"לו""ם",,"['לוחמת מודיעין;', 'לוחמה ממוחשבת;', 'לוחמה מנגד;', 'לוחמת מידע;', 'לוחם מעברים']",True
2429,"לומ""ד",,['לוחמת מידע'],True
2430,"לומ""ר",,['לוחמה מבוססת־רשת '],True
2431,"לו""ש",,"['לוח שנתות;', 'לבן שווה שחור']",True
2432,"לו""ת",,"['לוח תפוצה ;', 'לוגיסטיקה ותקציב']",True
2433,"לות""ם",,['לוחם־תקשוב מבצעי  107'],True
2434,"ל""ז",,['לוחית זיהוי '],True
2435,"לח""ב",,['לא חזר בזמן'],True
2436,"לח""י",,['לוחמי חירות ישראל'],True
2437,"לח""ם",,"['לחצי ניפוח, חלוקת עומסים, מהירות ']",True
2438,"ל""ט",,['לוח טווחים'],True
2439,"לט""ג",,['לוח טווחים גרפי'],True
2440,"לי""ד",,['לוחמת יבשה דיגיטלית '],True
2441,"ליז""ר",,"['ראו: LASER ]הפועל: לזר; שם הפועל: ללזור; שם הפעולה: לזירה; הגו: לייז""ר; כיום כותבים בלי גרשיים לייזר ליט ליטרה או ליטראות']",True
2442,"ליע""ם",,['ליווי עולים במודיעין'],True
2443,"לכ""א",,['להק כוח־האדם '],True
2444,"ל""ל",,['לוחמת לילה'],True
2445,"לל""ש",,['ללא שינוי'],True
2446,"ל""מ",,"['לא מספיק;', 'לוחמת מידע']",True
2447,"ל""ם",,['לוחמת מחשבים'],True
2448,"למ""א",,['למידה מותאמת אישית'],True
2449,"למ""ד",,"['לפנים משורת הדין למ""ד מח""ק לום, מתח זחל, דלק )שמן ומים מחברים, חיזוקים, קשר ]\'לום\' בעברית: קנטר']",True
2450,"למ""ט",,['להק המטה'],True
2451,"למל""ץ",,['ללא מדים וללא צבא'],True
2452,"למ""ם",,"['ללא מד־מהירות;', 'לוחמת מחשבים']",True
2453,"למ""ס",,['הלשכה המרכזית לסטטיסטיקה'],True
2454,"למס""פ",,['הלשכה המרכזית לסטטיסטיקה פלסטינית'],True
2455,"למ""ק",,"['לא־מסוגל לקרב;', 'לימודי קרקע']",True
2456,"למ""ר",,['לוחמה מושתתת־רשת'],True
2457,"למ""ת",,['לא מסוגל לתפקד'],True
2458,"לנל""ב",,['לא ניתן לזהות בוודאות'],True
2459,"לסה""נ",,['לספירת הנוצרים'],True
2460,"לס""ם",,['לוחם סיוע מבצעי'],True
2461,"ל""ע",,['לימוד עצמי '],True
2462,"לע""ם",,['לשכת העיתונות הממשלתית'],True
2463,"ל""פ",,['לוחמה פסיכולוגית ]יש ההוגים: למד־פא; ראו PSYWAR וגם ]PW'],True
2464,"לפ""ם",,['לשכת הפרסום הממשלתית 108'],True
2465,"לפסה""נ",,['לפני ספירת הנוצרים'],True
2466,"ל""ץ",,['לא צפוי'],True
2467,"לצ""ט",,['לצורכי טיסה'],True
2468,"לק""ם",,['הלשכה לקשרי מדע'],True
2469,"ל""ר",,"['לחימה רגלית;', 'לא רלוונטי']",True
2470,"לרל""ר",,"[""לוד, רמלה, לטרון, רמאללה לש לשכה ]גם ל'; ברבים: לשכות; בסמיכות: לשכת הגיוס או לשכות הגיוס; השימוש בשם 'לשכה' מותר רק לקצינים שדרגתם תת־אלוף ומעלה""]",True
2471,"ל""ש",,['לוחמת שטח'],True
2472,"לשכ""ג",,['לשכת הגיוס '],True
2473,"לשכת""ר",,"['לשכת הרמטכ""ל']",True
2474,"לש""ם",,[' לאסירים שומרי מצוות '],True
2475,"לש""ע",,['לוחמת שטח עירוני'],True
2476,"לת""ק",,['לוחמה תת־קרקעית 109'],True
2477,מ/,,"['קידומת למספר האישי של חייל בשירות המילואים ששוחרר מהשירות הסדיר או הוצב לשירות המילואים עם חיולו', 'קידומת למספר האישי של אוכלוסייה שלא גויסה לסוג שירות אחר בעבר ומתגייסת למטרת מילואים בתנאי קבע; בסעיף זה נכללת גם אוכלוסיית הגששים שלא גויסה בעבר']",True
2478,מ',,"['מפתח ;', 'מטען;', 'מפקד, מפקדת ]ראו COMDR וגם ;]COM', 'מרכז;', 'מערכת או מערכתי;', 'מנהל, מנהלת;', 'מרפאה;', 'מנהל או מנהלי;', 'מחלף;', 'מערה;', 'מצפה;', 'חבל מיוחד ] 13-12 בסימנים מוסכמים – בלי גרש', 'גשר מישר;', 'משל""ט ;', 'משותף;', 'מוגבל ;', 'מילואים;', 'מטר;', 'מחוז;', 'מחנה;', 'מועד;', 'מחלקה או מחלקתי ] 25-22 : בסימנים מוסכמים – בלי גרש', 'משטרה;', 'מגלה כיוון ']",True
2479,מ,,['110'],True
2480,"מאב""ן",,['מתקן אימונים בקרת נזקים'],True
2481,"מאג""ח",,['מאגרי ידע חיליים'],True
2482,"מאגמ""ה",,['מרכז אימון גלקסייה ומשואה'],True
2483,"מאה""ד",,['מתקן אימון והדמיה'],True
2484,"מאו""ז",,['מחשוב ארגוני ומערכות מבוזרות'],True
2485,"מאו""ן",,['משאבי אנוש וניהול'],True
2486,"מאו""ר",,"[""מרכז אמבולטורי לטיפול ולמעקב רפואי אמבולטורי' הוא שם לוואי, ומשמעו שאינו כרוך באשפוז, כגון טיפול יום או טיפול באשפוז יום"", 'משאבי אנוש וארגון;', 'מערכות אלחוטיות ורחבות סרט כיום נכתב בלי ראשי תיבות: מאור']",True
2487,"מאו""ת",,"['מודיעין שדה, אופטיקה ותחמושת;', 'מערכת איסוף וניתוח של תקלות;', 'משקים, אחזקה ותוכניות עבודה']",True
2488,"מא""ז",,['מפקד אזור'],True
2489,"מא""ח",,['מתקן אימונים חטיבתי'],True
2490,"מא""י",,"['מרכז־אימון יחידתי;', 'מרכז אוויר־ים;', 'מחקר, אסטרטגיה ויזמות']",True
2491,"מאי""ה",,"['מבצעים, איסוף, יעדים והונאה טקטית הגו: מאי""ה']",True
2492,"מא""ך",,['מגבר אור־כוכבים ]ראו גם ]SLS'],True
2493,"מאל""א",,"[' למערכות אלקטרוניות וללוחמה אלקטרונית ]במפא""ת; 2-1 הגו: מאל""א', ""מתקן אימון ללחימה אורבנית ]'אורבני' בעברית: עירוני""]",True
2494,"מאלש""ח",,['מדריך אוכלוסייה לשעת חירום 111'],True
2495,"מא""מ",,"[""מערכת 'אבן מתגלגלת'""]",True
2496,"מא""ם",,['מפקד אימון מתקדם'],True
2497,"מאמ""ח",,['המרכז לאימון מפקדות החטיבה'],True
2498,"מאמ""י",,['המרכז לאימון מפקדים ויחידות '],True
2499,"מאמי""ן",,"['מערכת איכון מקורות ירי נק""ל ']",True
2500,"מאמ""ן",,['מתקן אימון מערכות נשק'],True
2501,"מאמ""ס",,"['מתקן אימון מערכות סטי""ל ']",True
2502,"מאמ""פ",,['המרכז לאימון מפקדים ומפקדות'],True
2503,"מאמ""ץ",,"['מתודולוגיות, אמצעי פיתוח, מחקר ופיתוח וייעוץ', 'מיקום, אבטחה, מיגון, צפיפות']",True
2504,"מאמ""ת",,"['מפסק אוטומטי, מגנטי, תרמי']",True
2505,"מא""ן",,"['מאגר נתונים ] 2-1 הגו: מא""ן; ראו גם ;]DBK', 'מקדם אי־נוחות']",True
2506,"מאנו""ג",,['מרכז איכון נגד־סוללות ותצפות גיסי'],True
2507,"מאנ""ח",,['מרכז איסוף נתוני חללים'],True
2508,"מאנ""ץ",,['המרכז לאימון נגד־צוללת'],True
2509,"מאע""ם",,"['מדינת האמירויות הערביות המאוחדות כיום: איחוד האמירויות הערביות, ובקיצור איחוד האמירויות']",True
2510,"מא""פ",,"['מחסן אימונים פיקודי ;', 'מרכז אפסנאות פיקודית']",True
2511,"מארי""ה",,"['מדור ארי""ה )= ארגונים יהודיים וממשל בין־לאומי']",True
2512,"מאש""ל",,"['מחשוב, אימון ושילוב']",True
2513,"מא""ת",,"['המרכז לאימוני התקשוב מא""ת, נקמ""ן, חג""ג, ל""ץ משימה, אויב, תצפות; ניתוב, נתיב קצר, מוכר נתיב נסתר; חיפוי, גבול גזרה, גמישות; לא־צפוי מב מבצע או מבצעי']",True
2514,"מ""ב",,"['מידה בינונית;', 'מגבייט ]ראו גם ]MB']",True
2515,"מב""ב",,"['מפקד בכיר בים;', 'מיומנויות בסיסיות בהדרכה']",True
2516,"מב""ד",,['ממתין לבירור דין'],True
2517,"מבו""ר",,['מדור הביקורת והרישום 112'],True
2518,"מבו""ש",,['מבוא שילה'],True
2519,"מבז""ר",,['מרכז בקרה אזורי ]ראו גם ]ACC'],True
2520,"מב""ח",,['מערכת בינוי חדשה'],True
2521,"מבחנ""ה",,['מערכת למיכון תהליכי האבחון הביטחוני'],True
2522,"מבח""ר",,['מרכז בקרה מרחבי'],True
2523,"מב""ט",,"['מערכת בקרת טעינה;', 'מטוס בלי טייס; ]ראו: כטב""ם וגם מזל""ט, מל""ט, כטמ""ם', 'מוות בלתי־טבעי;', 'מתקן בדיקת טילים;', 'מנגנון ביטחון;', 'מוט ביטחון;', 'מרכיבי ביטחון;', 'מרכז בדיקות וטיפולים;', 'מערכות מידע, משאבים, בקרה וטכנולוגיה;', 'ממונה על הביטחון;', 'משאבים, מיכון, מידע, בקרה וטכנולוגיה']",True
2524,"מבט""ם",,"['מחלקת הבטיחות המטכ""לית']",True
2525,"מבל""ל",,['המרכז לביטחון לאומי לנוער'],True
2526,"מב""ם",,"['מרכז בקרה ומיתוג;', 'מערכת־בקרה מרכזית;', 'מכמונת בדיקת מסמכים;', 'מרכז בקרת משגרים;', 'מערכה בין־מערכות;', 'מתקן בקרה מרכזי;', 'מזר בכיר מתקדם ']",True
2527,"מבמ""ח",,['מרכז בקרה מחלקתי'],True
2528,"מב""ן",,"['מרכז  בקרת הנזקים;', 'מוביל מבנה;', 'מגן ברק נתונים;', 'מחלקת בריאות הנפש ']",True
2529,"מבנ""צ",,"['מבנה צה""ל']",True
2530,"מב""פ",,['מרכז בקרה פלוגתי'],True
2531,"מבפ""ם",,['מרכז בקרה פלוגתי משופר'],True
2532,"מבפמ""א",,['מרכז בקרה פלוגתי משופר ואיכותי '],True
2533,"מב""צ",,['מחלקת המבצעים'],True
2534,"מב""ק",,"['מרכז בקרת קשר;', 'מחלקת בטיחות הקרינה']",True
2535,"מבריק""ה",,['מכון סבב אישורי פקודות הרכש'],True
2536,"מב""ש",,"['מפקד בית־חולים שדה;', 'מרכז בקרה ושליטה']",True
2537,"מב""ת",,"['מערכת לניהול מלאי בתנועה;', 'ממשל צבאי, ביטחון מרחבי, תיאום פעולה בשטחים 113']",True
2538,"מבת""ש",,"[""מנגנון ביטחון, תיאום ושיתוף פעולה מג מג'מועה ]בארצות ערב""]",True
2539,"מג""א",,"['המקרה הגרוע האפשרי ;', 'מד־גובה אלקטרוני;', 'מאמנים וגורמי אנוש;', 'מפקד גף אפסנאות;', 'מד־גובה אלחוטי']",True
2540,"מגא""ת",,['מפקד גף אפסנאות תעופתית '],True
2541,"מגב""ר",,['מערכת מיכון גאוגרפי במרכז גיוס'],True
2542,"מג""ה",,['מגהרץ '],True
2543,"מג""ז",,['מפקד גזרה'],True
2544,"מג""ח",,"['מימון, גבייה ומחשבים ]יחידה באגף הכספים במשהב""ט']",True
2545,"מגל""א",,['מפקד גף הלוגיסטיקה האווירית '],True
2546,"מגל""ד",,"['34־MG .1 ;', 'מפקד הגליל הדרומי']",True
2547,"מגל""ז",,['מגלה לזירה'],True
2548,"מגל""ם",,"['מגלה מכ""ם']",True
2549,"מגל""ן",,['מערכת גאודטית להמרת נקודת ציון יש ההוגים: להמרת נון־צדי'],True
2550,"מגל""ר",,"['מגלה רשף;', 'מברשת גילוח לניקוי רובים']",True
2551,"מג""ם",,"['מכ""ם גילוי מתקפים;', 'מרכז־גיוס מרחבי;', 'מרכז־גיוס מדולג;', 'מגן־משנה ']",True
2552,"מגמ""א",,['מפקד גף מרכז אחזקה  114'],True
2553,"מגמ""ס",,['מפקד גף מסוקים'],True
2554,"מגמ""ק",,['מגלה מוקשים'],True
2555,"מגמ""ת",,['מגלה מתכות'],True
2556,"מג""נ",,['מפקד גונדה'],True
2557,"מג""ן",,"['מקא""ם, מו""ח, גדנ""ע ונח""ל']",True
2558,"מגנ""ם",,['מרכז גיוס נגד־מטוסים לרוב הוגים: מרכז גיוס נון־מם'],True
2559,"מגנ""ס",,['מגן בסייבר '],True
2560,"מגנ""ץ",,['מערכת גילוי וניווט של צוללות'],True
2561,"מג""ס",,['מפקד גיס'],True
2562,"מגסו""ל",,['מגלה סוללות'],True
2563,"מג""ע",,"['מידע גאוגרפי עולמי ;', 'מיכון גיוס עורף ']",True
2564,"מגע""ר",,['מגיש עזרה ראשונה'],True
2565,"מג""ף",,['מפקד גף'],True
2566,"מג""פ",,['מרכז גיוס פיקודי'],True
2567,"מג""ר",,"['מכ""ם גל־רציף;', 'מדידות גדודיות ראשוניות;', 'מגן ראשון ']",True
2568,"מגר""ע",,['מחיר גג עם רווח עידוד '],True
2569,"מג""ש",,"['מפקד גוש;', 'מגיש שיעור;', 'מגן שעון;', 'מאגרים  גאוגרפיים שלובים;', 'מרכז גמילה שיקומי ;', 'מניעת גישה ושטח']",True
2570,"מגש""ם",,"['מפקד גף שירותי מסלול;', 'מפקד גף שדה מבצעי']",True
2571,"מגש""ק",,['מפקד גף שירותי הקרקע'],True
2572,"מג""ת",,"['מדיד גבול תחתון;', 'מנהלת הגבולות והתפר מד מדריך']",True
2573,"מ""ד",,"['מספר דיווח ;', ""מפקד 'דבורה' ]'דבורה' – סדרת ספינות סיור קלות של חיל הים המשמשות לפעילות ביטחון שוטף ולסיכול פעולות טרור ימיות""]",True
2574,"מד""א",,"['מערכת דיווח ואחזקה ;', 'מגן־דוד אדום ]בסימנים מוסכמים – בלי גרשיים ; ראו גם ;]MDA', 'מודיעין, מדידה ואפיון ]ראו גם ]MASINT']",True
2575,"מדא""ב",,"['מרכז הדיווח לאירועי במ""ת']",True
2576,"מד""ב",,['מדריך בכיר'],True
2577,"מד""ה",,['מדעי ההתנהגות  115'],True
2578,"מד""ז",,['מודד זמנים'],True
2579,"מד""ח",,"['מדריך חניך;', 'מדעי החברה;', 'מאגר דיווחי ירי חת""ם ']",True
2580,"מד""ך",,['מדריך כיתה'],True
2581,"מדל""ד",,['מד־לחץ דם'],True
2582,"מדל""ז",,['מודיעין ללא־זיהוי'],True
2583,"מדלי""ק",,"['מערכת דיווח ליקל""ר )= יחידת הקישור לרשות המקומית']",True
2584,"מדל""ם",,['מודיעין ללא־מילים'],True
2585,"מדל""ת",,['מודיעין ללא־תכנים'],True
2586,"מד""מ",,['מיליון דולר מזומן'],True
2587,"מדמ""ד",,['מדריך המדריכים '],True
2588,"מדמ""ח",,['מדעי המחשב'],True
2589,"מדמ""ל",,['מד־מהירות לוע'],True
2590,"מדנ""ט",,['מדריך ניווט'],True
2591,"מד""ץ",,"['מעטפה חולייתית, דוחהפצה חולייתי, צווי קריאה של אנשי החוליה', 'מכשיר דיבור ציבורי;', 'מרכזת דיבור ציבורי']",True
2592,"מדרג""ה",,['מיכון  דרג היחידה '],True
2593,"מדר""ט",,['מדריך טיסה'],True
